NAME,ACRES,BUBBLESIZE ,LATITUDE,LONGITUDE
Tulare County,3040.3714,304.03714,36.1342,-118.8597
Tehama - Glenn CAL FIRE,194.0017,19.40017,40.0271,-122.1233
Tuolumne - Calaveras CAL FIRE,1053.3963,105.33963,38.0297,-119.9741
San Luis Obispo CAL FIRE,31926.1909,3192.61909,35.3102,-120.4358
Siskiyou CAL FIRE,1278.0626,127.80626,41.7743,-122.577
Shasta - Trinity CAL FIRE,1169.4063,116.94063,40.7909,-121.8474
Santa Clara CAL FIRE,471.1557,47.11557,37.2939,-121.7195
Santa Barbara County,1036.1907,103.61907,34.4208,-119.6982
Riverside CAL FIRE,12656.0046,1265.60046,33.9806,-117.3755
Orange County,11859.443,1185.9443,33.7175,-117.8311
Nevada - Yuba - Placer CAL FIRE,18220.9489,1822.09489,39.2547,121.3999
San Diego CAL FIRE,6604.0616,660.40616,33.0934,116.6082
Madera - Mariposa CAL FIRE,88023.4471,8802.34471,37.5128,119.8815
Sonoma - Lake - Napa CAL FIRE,205374.7461,20537.47461,39.084,122.8084
Los Angeles County,23309.499,2330.9499,34.3872,118.1123
Kern County,4677.663,467.7663,35.4937,118.8597
Northern CA District - BLM,118676.7081,11867.67081,38.6027,121.3975
Los Angeles City FD,7422.6586,742.26586,34.0522,118.2437
Fresno-Kings CAL FIRE,68744.2291,6874.42291,36.746841,-119.772591
Shasta-Trinity National Forest,35223.91,3522.391,40.7909,121.8474
Tahoe National Forest,1159.4589,115.94589,39.5624,120.5635
Stanislaus National Forest,7126.2628,712.62628,37.5091,120.9876
Six Rivers National Forest,32574.3018,3257.43018,41.2056,123.614
Sequoia National Forest,75599.4598,7559.94598,36.0233,118.4968
Sierra National Forest,13127.53,1312.753,37.3427,119.2244
Plumas National Forest,5753.8353,575.38353,39.9311,120.8131
Los Padres National Forest,18863.24,1886.324,34.6743,119.4456
Ventura County,281790.9,28179.09,34.3705,119.1391
Klamath National Forest,166114.6215,16611.46215,41.5878,123.099
Modoc National Forest,91737.8805,9173.78805,41.5002,121.0014
Yosemite National Park,16137.629,1613.7629,37.8651,119.5383
Rouge River- Siskiyou,33385.8597,3338.58597,42.0623,123.938
