NAME,ACRES,BUBBLESIZE 
Tulare County,3040.3714,304.03714
Tehama - Glenn CAL FIRE,194.0017,19.40017
Tuolumne - Calaveras CAL FIRE,1053.3963,105.33963
San Luis Obispo CAL FIRE,31926.1909,3192.61909
Siskiyou CAL FIRE,1278.0626,127.80626
Shasta - Trinity CAL FIRE,1169.4063,116.94063
Santa Clara CAL FIRE,471.1557,47.11557
Santa Barbara County,1036.1907,103.61907
Riverside CAL FIRE,12656.0046,1265.60046
Orange County,11859.443,1185.9443
Nevada - Yuba - Placer CAL FIRE,18220.9489,1822.09489
San Diego CAL FIRE,6604.0616,660.40616
Madera - Mariposa CAL FIRE,88023.4471,8802.34471
Sonoma - Lake - Napa CAL FIRE,205374.7461,20537.47461
Los Angeles County,23309.499,2330.9499
Kern County,4677.663,467.7663
Northern CA District - BLM,118676.7081,11867.67081
Los Angeles City FD,7422.6586,742.26586
Fresno-Kings CAL FIRE,68744.2291,6874.42291
Shasta-Trinity National Forest,35223.91,3522.391
Tahoe National Forest,1159.4589,115.94589
Stanislaus National Forest,7126.2628,712.62628
Six Rivers National Forest,32574.3018,3257.43018
Sequoia National Forest,75599.4598,7559.94598
Sierra National Forest,13127.53,1312.753
Plumas National Forest,5753.8353,575.38353
Los Padres National Forest,18863.24,1886.324
Ventura County,281790.9,28179.09
Klamath National Forest,166114.6215,16611.46215
Eldorado National Forest,426.7024,42.67024
Cleveland National Forest,1116.8394,111.68394
San Bernardino National Forest,2634.9893,263.49893
Modoc National Forest,91737.8805,9173.78805
Inyo National Forest,2689.0638,268.90638
Butte CAL FIRE,18904.1608,1890.41608
San Mateo - Santa Cruz CAL FIRE,317.201,31.7201
Monterey - San Benito CAL FIRE,1821.772,182.1772
San Bernardino CAL FIRE,819.7268,81.97268
Amador - El Dorado CAL FIRE,1775.3475,177.53475
Yosemite National Park,16137.629,1613.7629
Rouge River- Siskiyou,33385.8597,3338.58597
Camp Pendleton Marine Corps Base,702.3066,70.23066
