YEAR,GIS_ACRES
2015,151546.8
2015,76084.84
2015,70846.53
2015,69438.16
2015,68095.24
2015,31284.44
2015,25118.38
2015,18192.03
2015,17821.11
2015,17779.54
2015,15390.65
2015,14253.95
2015,12916.57
2015,11616.88
2015,11524.46
2015,11439.25
2015,11012.8
2015,10517.52
2015,8669.771
2015,8305.019
2015,8049.334
2015,7576.045
2015,6996.186
2015,6803.031
2015,6537.519
2015,6273.949
2015,5701.341
2015,5682.627
2015,4862.165
2015,4249.093
2015,4109.539
2015,3815.886
2015,3276.482
2015,2989.925
2015,2828.028
2015,2445.945
2015,2315.63
2015,1812.315
2015,1773.247
2015,1728.974
2015,1542.967
2015,1530.955
2015,1461.844
2015,1420.48
2015,1403.444
2015,1287.388
2015,1075.519
2015,1048.689
2015,1045.756
2015,921.6489
2015,901.9863
2015,897.9925
2015,787.353
2015,757.9618
2015,686.7833
2015,675.5582
2015,670.2086
2015,662.1591
2015,644.1685
2015,639.9178
2015,543.5366
2015,512.4335
2015,500.9492
2015,498.9207
2015,427.9607
2015,410.6794
2015,408.9148
2015,400.2011
2015,398.4229
2015,390.0219
2015,378.9736
2015,364.396
2015,357.5903
2015,324.7684
2015,283.831
2015,283.2199
2015,273.8199
2015,270.0217
2015,264.5698
2015,247.8912
2015,243.6706
2015,234.188
2015,217.7269
2015,213.5105
2015,210.8346
2015,209.6283
2015,204.3927
2015,202.7018
2015,186.1511
2015,181.437
2015,175.0157
2015,174.9406
2015,173.9841
2015,170.9495
2015,164.7058
2015,163.283
2015,160.7299
2015,160.0666
2015,159.3774
2015,150.418
2015,147.2519
2015,145.9043
2015,139.9756
2015,138.7429
2015,137.3257
2015,134.0251
2015,129.2855
2015,128.691
2015,123.6968
2015,118.0251
2015,111.9445
2015,110.8015
2015,107.9033
