YEAR_,GIS_ACRES
2017,340.5638
2017,2284.596
2017,415.2116
2017,194.0017
2017,684.3565
2017,114.5601
2017,124.244
2017,130.2357
2017,147.667
2017,236.8678
2017,340.4365
2017,28834.17
2017,1645.591
2017,244.789
2017,105.6661
2017,253.9364
2017,117.0671
2017,469.3559
2017,155.1988
2017,175.3335
2017,994.0728
2017,157.2408
2017,109.1915
2017,102.559
2017,102.1644
2017,147.8375
2017,269.1116
2017,429.7042
2018,189.5374
2017,193.6728
2017,999.6262
2017,188.1239
2017,3872.152
2017,521.0856
2017,577.6851
2017,2661.415
2017,9198.028
2017,392.4852
2017,867.0196
2017,820.6441
2017,4080.615
2017,332.5865
2017,1912.906
2017,142.9097
2017,135.0444
2017,677.8926
2017,1428.533
2017,988.4675
2017,81826.27
2017,558.1425
2017,1730.466
2017,208.2268
2017,123.1079
2017,114.1168
2017,125.7918
2017,2366.235
2017,55798.19
2017,791.8881
2017,1657.369
2017,106.0054
2017,36701.98
2017,17359.33
2017,51624.66
2017,2206.23
2017,759.7584
2017,733.2616
2017,149.61
2017,15619.15
2017,6047.719
2017,449.7781
2017,2940.496
2017,1182.301
2017,105.0879
2017,18601.98
2017,401.2877
2017,83581.41
2017,278.1283
2017,120.2505
2017,203.9681
2017,148.6008
2017,214.6641
2017,6036.065
2017,166.8586
2017,8923.495
2017,482.3408
2017,371.3076
2017,6303.659
2017,236.9534
2017,160.164
2017,48886.66
2017,4533.284
2017,1648.704
2017,11146.75
2017,1561.663
2017,356.9353
2017,102.2866
2017,110.8288
2017,3372.92
2017,18493.71
2017,1019.992
2017,139.4669
2017,4423.208
2017,1747.87
2017,310.7712
2017,510.1094
2017,134.3042
2017,1643.643
2017,1522.747
2017,242.4736
2017,21317.93
2017,318.873
2017,147.5612
2017,4240.974
2017,3140.1
2017,15833.21
2017,36619.43
2017,1321.26
2017,18913.58
2017,1522.259
2017,1282.467
2017,107.2538
2017,145.1785
2017,611.2015
2017,12371.15
2017,13357.28
2017,855.2444
2017,113.0544
2017,4339.355
2017,446.1815
2017,450.84
2017,18412.4
2017,281790.9
2017,9129.377
2017,101.367
2017,265.481
2017,1594.034
2017,113.9625
2017,91125.33
2017,63785.07
2017,426.7024
2017,250.5664
2017,866.273
2017,1505.491
2017,460.2896
2017,669.2087
2017,381.0148
2017,1492.398
2017,30890.86
2017,254.8858
2017,45704.01
2017,4490.607
2017,115.3048
2017,281.273
2017,313.2321
2017,120.976
2017,653.5079
2017,394.8168
2017,2294.247
2017,143.6004
2017,8415.803
2017,4015.732
2017,6028.49
2017,147.0237
2017,153.5117
2017,317.201
2017,1821.772
2017,325.5135
2017,157.5895
2017,336.6238
2017,1268.11
2017,138.5487
2017,130.7719
2017,237.9169
2017,16140.8
2017,8577.552
2017,7051.351
2017,7693.319
2017,7560.077
2017,36522.95
2017,32893.26
2017,492.5997
2017,702.3066
